Index,Name,Cost,Perception Entropy,Generation,s0_type,s0_x,s0_y,s0_z,s0_qw,s0_qx,s0_qy,s0_qz,s1_type,s1_x,s1_y,s1_z,s1_qw,s1_qx,s1_qy,s1_qz,s2_type,s2_x,s2_y,s2_z,s2_qw,s2_qx,s2_qy,s2_qz,s3_type,s3_x,s3_y,s3_z,s3_qw,s3_qx,s3_qy,s3_qz,s4_type,s4_x,s4_y,s4_z,s4_qw,s4_qx,s4_qy,s4_qz
0,Prior Design,5.0,2.419967160926951,0,2,0.1,0.2,0.3,6.123233995736766e-17,0.0,0.0,1.0,2,0.0,0.0,1.0,6.123233995736766e-17,0.13052619222005157,7.832796718715562e-18,0.9914448613738105,1,0.2,0.3,0.4,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Design 1,3.0,0.8082285930820157,1,1,1.6014891373510733,0.9682615757193975,0.31342417815924284,0.8136830925941467,-0.07529731839895248,-0.4404386878013611,-0.37183859944343567,2,1.3846452313386282,0.8763891522960383,0.8946066635038473,0.1344016194343567,0.2741139531135559,-0.7841612100601196,0.5402675867080688,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Design 2,3.0,6.790502912706225,1,1,0.6310312620121259,0.6865009276815837,0.8346256718973729,0.8070379495620728,-0.15869258344173431,-0.5578681230545044,0.1108589619398117,1,0.03657655468838361,0.7501443149449675,0.9888610889064947,-0.4413169026374817,0.37024515867233276,0.814871072769165,0.06436703354120255,1,1.4963313087596788,0.2804439920644052,0.7892793284514885,-0.7193142175674438,0.16594789922237396,0.663008451461792,-0.12437088042497635,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Design 3,5.0,2.519196125564676,1,1,0.03873391574059415,0.678835532939891,0.21162811600005904,0.438116192817688,-0.896817684173584,-0.05991233512759209,0.01351932529360056,2,0.5310933187444524,0.4915731592803383,0.053362545117080384,0.21777090430259705,0.1479121446609497,-0.5191803574562073,-0.8131111264228821,2,1.1482352109840261,0.14672857490581015,0.5893055369032842,-0.6703463196754456,-0.3504040241241455,-0.653296947479248,-0.032496821135282516,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Design 4,4.0,-1.7560228304141878,1,2,1.0717928118310232,0.6637946452197888,0.5148891120583086,0.8271822333335876,-0.17861230671405792,-0.44765928387641907,-0.28890901803970337,1,1.8891895119816267,0.5865550405019929,0.9034019152878835,-0.32823893427848816,-0.5879583954811096,-0.5631542801856995,-0.4789796769618988,1,0.27494940829247505,0.13927634725075855,0.8073912887095238,0.5661248564720154,0.8227596879005432,-0.013560534454882145,0.048838961869478226,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Design 5,3.0,0.8082285930820157,2,1,1.6014891373510733,0.9682615757193975,0.31342417815924284,0.8136830925941467,-0.07529731839895248,-0.4404386878013611,-0.37183859944343567,2,1.3846452313386282,0.8763891522960383,0.8946066635038473,0.1344016194343567,0.2741139531135559,-0.7841612100601196,0.5402675867080688,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Design 6,4.0,-1.7560228304141878,2,2,1.0717928118310232,0.6637946452197888,0.5148891120583086,0.8271822333335876,-0.17861230671405792,-0.44765928387641907,-0.28890901803970337,1,1.8891895119816267,0.5865550405019929,0.9034019152878835,-0.32823893427848816,-0.5879583954811096,-0.5631542801856995,-0.4789796769618988,1,0.27494940829247505,0.13927634725075855,0.8073912887095238,0.5661248564720154,0.8227596879005432,-0.013560534454882145,0.048838961869478226,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Design 7,3.0,6.790502912706225,2,1,0.6310312620121259,0.6865009276815837,0.8346256718973729,0.8070379495620728,-0.15869258344173431,-0.5578681230545044,0.1108589619398117,1,0.03657655468838361,0.7501443149449675,0.9888610889064947,-0.4413169026374817,0.37024515867233276,0.814871072769165,0.06436703354120255,1,1.4963313087596788,0.2804439920644052,0.7892793284514885,-0.7193142175674438,0.16594789922237396,0.663008451461792,-0.12437088042497635,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Design 8,5.0,2.054205763995514,2,1,0.6251085467060256,0.678835532939891,0.21162811600005904,0.9360643625259399,-0.22320404648780823,-0.12428055703639984,0.24190445244312286,2,0.02632629796380731,0.752301980119063,0.053362545117080384,0.1746142953634262,0.15121859312057495,-0.5402621626853943,-0.8091722130775452,2,1.0,0.14807801345792093,0.5893055369032842,-0.6989673376083374,-0.33460965752601624,-0.6311386823654175,-0.03383887559175491,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
