Index,Name,Cost,Perception Entropy,Generation,s0_type,s0_x,s0_y,s0_z,s0_qw,s0_qx,s0_qy,s0_qz,s1_type,s1_x,s1_y,s1_z,s1_qw,s1_qx,s1_qy,s1_qz,s2_type,s2_x,s2_y,s2_z,s2_qw,s2_qx,s2_qy,s2_qz,s3_type,s3_x,s3_y,s3_z,s3_qw,s3_qx,s3_qy,s3_qz,s4_type,s4_x,s4_y,s4_z,s4_qw,s4_qx,s4_qy,s4_qz
0,Prior Design,5.0,2.419967160926951,0,2,0.1,0.2,0.3,6.123233995736766e-17,0.0,0.0,1.0,2,0.0,0.0,1.0,6.123233995736766e-17,0.13052619222005157,7.832796718715562e-18,0.9914448613738105,1,0.2,0.3,0.4,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Design 1,3.0,0.5652347553366792,1,1,1.6014891373510733,0.9682615757193975,0.31342417815924284,-0.8955053091049194,0.08871276676654816,-0.33494237065315247,-0.27930957078933716,2,1.3846452313386282,0.8763891522960383,0.8946066635038473,-0.09367383271455765,0.23825331032276154,-0.7361187934875488,-0.6265698075294495,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Design 2,3.0,2.9047188143194607,1,1,0.6310312620121259,0.6865009276815837,0.8346256718973729,0.6655279397964478,-0.43296539783477783,-0.37652266025543213,0.4773303270339966,1,0.03657655468838361,0.7501443149449675,0.9888610889064947,0.4893190264701843,0.44709521532058716,0.12740950286388397,-0.7378614544868469,1,1.4963313087596788,0.2804439920644052,0.7892793284514885,0.052670739591121674,0.735988974571228,-0.6728695631027222,0.05284569412469864,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Design 3,5.0,2.622227584108006,1,1,0.03873391574059415,0.678835532939891,0.21162811600005904,0.3514321744441986,-0.869242787361145,-0.1679248958826065,-0.3044891953468323,2,0.5310933187444524,0.4915731592803383,0.053362545117080384,-0.1612972468137741,-0.5418940782546997,-0.4420742392539978,0.6963508129119873,2,1.1482352109840261,0.14672857490581015,0.5893055369032842,0.11455272883176804,0.7082158327102661,0.42745810747146606,-0.5500797033309937,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Design 4,4.0,-2.7779208841554413,1,2,1.0717928118310232,0.6637946452197888,0.5148891120583086,-0.1231306791305542,0.07270520180463791,0.035478271543979645,0.9890875220298767,1,1.8891895119816267,0.5865550405019929,0.9034019152878835,-0.06449112296104431,0.11604055017232895,0.12764529883861542,0.982894778251648,1,0.27494940829247505,0.13927634725075855,0.8073912887095238,-0.6316066980361938,-0.0026915150228887796,-0.6093272566795349,0.47936001420021057,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Design 5,3.0,0.5652347553366792,2,1,1.6014891373510733,0.9682615757193975,0.31342417815924284,-0.8955053091049194,0.08871276676654816,-0.33494237065315247,-0.27930957078933716,2,1.3846452313386282,0.8763891522960383,0.8946066635038473,-0.09367383271455765,0.23825331032276154,-0.7361187934875488,-0.6265698075294495,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Design 6,4.0,-2.7779208841554413,2,2,1.0717928118310232,0.6637946452197888,0.5148891120583086,-0.1231306791305542,0.07270520180463791,0.035478271543979645,0.9890875220298767,1,1.8891895119816267,0.5865550405019929,0.9034019152878835,-0.06449112296104431,0.11604055017232895,0.12764529883861542,0.982894778251648,1,0.27494940829247505,0.13927634725075855,0.8073912887095238,-0.6316066980361938,-0.0026915150228887796,-0.6093272566795349,0.47936001420021057,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Design 7,3.0,2.9047188143194607,2,1,0.6310312620121259,0.6865009276815837,0.8346256718973729,0.6655279397964478,-0.43296539783477783,-0.37652266025543213,0.4773303270339966,1,0.03657655468838361,0.7501443149449675,0.9888610889064947,0.4893190264701843,0.44709521532058716,0.12740950286388397,-0.7378614544868469,1,1.4963313087596788,0.2804439920644052,0.7892793284514885,0.052670739591121674,0.735988974571228,-0.6728695631027222,0.05284569412469864,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Design 8,5.0,2.4438077713333604,2,1,0.6251085467060256,0.678835532939891,0.21162811600005904,0.4696900248527527,-0.5216975212097168,-0.2175104022026062,0.6781682968139648,2,0.02632629796380731,0.752301980119063,0.053362545117080384,0.4089866280555725,-0.5144352316856384,-0.4109230637550354,-0.6318454146385193,2,1.0,0.14807801345792093,0.5893055369032842,0.10266169905662537,0.6424791812896729,-0.5733713507652283,-0.4979221522808075,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
