Index,Name,Cost,Perception Entropy,Generation,s0_type,s0_x,s0_y,s0_z,s0_qw,s0_qx,s0_qy,s0_qz,s1_type,s1_x,s1_y,s1_z,s1_qw,s1_qx,s1_qy,s1_qz,s2_type,s2_x,s2_y,s2_z,s2_qw,s2_qx,s2_qy,s2_qz,s3_type,s3_x,s3_y,s3_z,s3_qw,s3_qx,s3_qy,s3_qz,s4_type,s4_x,s4_y,s4_z,s4_qw,s4_qx,s4_qy,s4_qz
0,Prior Design,5.0,2.419967160926951,0,2,0.1,0.2,0.3,6.123233995736766e-17,0.0,0.0,1.0,2,0.0,0.0,1.0,6.123233995736766e-17,0.13052619222005157,7.832796718715562e-18,0.9914448613738105,1,0.2,0.3,0.4,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Design 1,3.0,-0.8079042897509486,1,1,1.6014891373510733,0.9682615757193975,0.31342417815924284,0.2412116527557373,-0.7116709351539612,-0.1034439280629158,0.6516446471214294,2,1.3846452313386282,0.8763891522960383,0.8946066635038473,-0.8838563561439514,-0.3935263454914093,-0.2027115523815155,-0.15113933384418488,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Design 2,3.0,3.188194031661837,1,1,0.6310312620121259,0.6865009276815837,0.8346256718973729,0.7811300158500671,0.41069716215133667,-0.28855395317077637,-0.3713494539260864,1,0.03657655468838361,0.7501443149449675,0.9888610889064947,0.0779479444026947,-0.6020587682723999,0.7946155667304993,-0.005952795967459679,1,1.4963313087596788,0.2804439920644052,0.7892793284514885,-0.23188769817352295,0.21302065253257751,0.5968999862670898,0.7379435300827026,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Design 3,5.0,2.4778617873030173,1,1,0.03873391574059415,0.678835532939891,0.21162811600005904,0.07786989212036133,0.8896186351776123,-0.30828529596328735,-0.32783403992652893,2,0.5310933187444524,0.4915731592803383,0.053362545117080384,0.5505295395851135,-0.11200766265392303,0.8058155179023743,0.1871708780527115,2,1.1482352109840261,0.14672857490581015,0.5893055369032842,-0.41683128476142883,-0.5999095439910889,-0.25963759422302246,-0.6316236853599548,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Design 4,4.0,-2.829793168104238,1,2,1.0717928118310232,0.6637946452197888,0.5148891120583086,-0.45379287004470825,0.22051863372325897,0.2936241924762726,-0.8119288682937622,1,1.8891895119816267,0.5865550405019929,0.9034019152878835,0.7831249237060547,-0.09510517865419388,0.4954024851322174,-0.36365753412246704,1,0.27494940829247505,0.13927634725075855,0.8073912887095238,0.7651554346084595,0.15847206115722656,0.21875202655792236,-0.5844410061836243,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Design 5,3.0,-0.8079042897509486,2,1,1.6014891373510733,0.9682615757193975,0.31342417815924284,0.2412116527557373,-0.7116709351539612,-0.1034439280629158,0.6516446471214294,2,1.3846452313386282,0.8763891522960383,0.8946066635038473,-0.8838563561439514,-0.3935263454914093,-0.2027115523815155,-0.15113933384418488,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Design 6,4.0,-2.829793168104238,2,2,1.0717928118310232,0.6637946452197888,0.5148891120583086,-0.45379287004470825,0.22051863372325897,0.2936241924762726,-0.8119288682937622,1,1.8891895119816267,0.5865550405019929,0.9034019152878835,0.7831249237060547,-0.09510517865419388,0.4954024851322174,-0.36365753412246704,1,0.27494940829247505,0.13927634725075855,0.8073912887095238,0.7651554346084595,0.15847206115722656,0.21875202655792236,-0.5844410061836243,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Design 7,3.0,3.188194031661837,2,1,0.6310312620121259,0.6865009276815837,0.8346256718973729,0.7811300158500671,0.41069716215133667,-0.28855395317077637,-0.3713494539260864,1,0.03657655468838361,0.7501443149449675,0.9888610889064947,0.0779479444026947,-0.6020587682723999,0.7946155667304993,-0.005952795967459679,1,1.4963313087596788,0.2804439920644052,0.7892793284514885,-0.23188769817352295,0.21302065253257751,0.5968999862670898,0.7379435300827026,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Design 8,5.0,1.5901097278369902,2,1,0.6251085467060256,0.678835532939891,0.21162811600005904,0.09984210878610611,0.8949810266494751,-0.2990965247154236,-0.3155657649040222,2,0.02632629796380731,0.752301980119063,0.053362545117080384,0.4542871415615082,-0.5364395976066589,0.7112334966659546,0.0016363561153411865,2,1.0,0.14807801345792093,0.5893055369032842,-0.26081714034080505,-0.6142807602882385,-0.2537878453731537,-0.7001609206199646,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
