Index,Name,Cost,Perception Entropy,Generation,s0_type,s0_x,s0_y,s0_z,s0_qw,s0_qx,s0_qy,s0_qz,s1_type,s1_x,s1_y,s1_z,s1_qw,s1_qx,s1_qy,s1_qz,s2_type,s2_x,s2_y,s2_z,s2_qw,s2_qx,s2_qy,s2_qz,s3_type,s3_x,s3_y,s3_z,s3_qw,s3_qx,s3_qy,s3_qz,s4_type,s4_x,s4_y,s4_z,s4_qw,s4_qx,s4_qy,s4_qz
0,Prior Design,5.0,2.419967160926951,0,2,0.1,0.2,0.3,6.123233995736766e-17,0.0,0.0,1.0,2,0.0,0.0,1.0,6.123233995736766e-17,0.13052619222005157,7.832796718715562e-18,0.9914448613738105,1,0.2,0.3,0.4,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Design 1,3.0,1.2645632641064817,1,1,1.6014891373510733,0.9682615757193975,0.31342417815924284,0.5564411878585815,0.2574746310710907,0.7854474782943726,-0.0845709890127182,2,1.3846452313386282,0.8763891522960383,0.8946066635038473,0.7690742015838623,-0.4659225642681122,-0.32475146651268005,0.2932194471359253,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Design 2,3.0,-0.007977014714391564,1,1,0.6310312620121259,0.6865009276815837,0.8346256718973729,0.3124391734600067,0.17444458603858948,0.922564685344696,-0.14430975914001465,1,0.03657655468838361,0.7501443149449675,0.9888610889064947,0.6798810958862305,-0.5361120104789734,-0.47705182433128357,0.15088801085948944,1,1.4963313087596788,0.2804439920644052,0.7892793284514885,0.13665840029716492,-0.2301434874534607,-0.039655547589063644,-0.9626972079277039,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Design 3,5.0,2.796875965428675,1,1,0.03873391574059415,0.678835532939891,0.21162811600005904,-0.004122899379581213,-0.9663297533988953,-0.10739045590162277,0.23378878831863403,2,0.5310933187444524,0.4915731592803383,0.053362545117080384,-0.7996291518211365,0.5339046716690063,0.22723205387592316,0.154611274600029,2,1.1482352109840261,0.14672857490581015,0.5893055369032842,0.24960634112358093,-0.594989001750946,0.7629677653312683,0.039561476558446884,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Design 4,4.0,-1.3020521659170687,1,2,1.0717928118310232,0.6637946452197888,0.5148891120583086,-0.7168816924095154,0.47915494441986084,-0.13629256188869476,0.4877658486366272,1,1.8891895119816267,0.5865550405019929,0.9034019152878835,0.9227462410926819,-0.2323121875524521,-0.1151610016822815,-0.2851462662220001,1,0.27494940829247505,0.13927634725075855,0.8073912887095238,-0.14165177941322327,0.12305324524641037,-0.24586047232151031,0.9509707689285278,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Design 5,3.0,-0.007977014714391564,2,1,0.6310312620121259,0.6865009276815837,0.8346256718973729,0.3124391734600067,0.17444458603858948,0.922564685344696,-0.14430975914001465,1,0.03657655468838361,0.7501443149449675,0.9888610889064947,0.6798810958862305,-0.5361120104789734,-0.47705182433128357,0.15088801085948944,1,1.4963313087596788,0.2804439920644052,0.7892793284514885,0.13665840029716492,-0.2301434874534607,-0.039655547589063644,-0.9626972079277039,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Design 6,4.0,-1.3020521659170687,2,2,1.0717928118310232,0.6637946452197888,0.5148891120583086,-0.7168816924095154,0.47915494441986084,-0.13629256188869476,0.4877658486366272,1,1.8891895119816267,0.5865550405019929,0.9034019152878835,0.9227462410926819,-0.2323121875524521,-0.1151610016822815,-0.2851462662220001,1,0.27494940829247505,0.13927634725075855,0.8073912887095238,-0.14165177941322327,0.12305324524641037,-0.24586047232151031,0.9509707689285278,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Design 7,3.0,1.2645632641064817,2,1,1.6014891373510733,0.9682615757193975,0.31342417815924284,0.5564411878585815,0.2574746310710907,0.7854474782943726,-0.0845709890127182,2,1.3846452313386282,0.8763891522960383,0.8946066635038473,0.7690742015838623,-0.4659225642681122,-0.32475146651268005,0.2932194471359253,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Design 8,5.0,2.1892267449545773,2,1,0.6251085467060256,0.678835532939891,0.21162811600005904,0.01900898851454258,0.6738700270652771,-0.2855769693851471,0.6811634302139282,2,0.02632629796380731,0.752301980119063,0.053362545117080384,0.6796199083328247,-0.6568120718002319,0.2720557749271393,0.18083232641220093,2,1.0,0.14807801345792093,0.5893055369032842,0.39487552642822266,-0.9163997173309326,-0.017380336299538612,0.06311078369617462,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
