id,Name,Cost,Perception Entropy,Generation,s0_type,s0_x,s0_y,s0_z,s0_qw,s0_qx,s0_qy,s0_qz,s1_type,s1_x,s1_y,s1_z,s1_qw,s1_qx,s1_qy,s1_qz,s2_type,s2_x,s2_y,s2_z,s2_qw,s2_qx,s2_qy,s2_qz,s3_type,s3_x,s3_y,s3_z,s3_qw,s3_qx,s3_qy,s3_qz,s4_type,s4_x,s4_y,s4_z,s4_qw,s4_qx,s4_qy,s4_qz
0,Prior Design,1.0,17.102969712799876,0,1,0.0,0.0,0.5,6.123233995736766e-17,0.7071067811865477,-4.3297802811774664e-17,-0.7071067811865474,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Design 1,1.0,6.47053561813244,1,1,0.8007445686755367,0.9682615757193975,0.31342417815924284,0.08856687694787979,-0.993203341960907,0.04035111516714096,0.06383541226387024,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Design 2,1.0,17.102969712799876,1,1,0.31551563100606295,0.6865009276815837,0.8346256718973729,-0.491329163312912,-0.6309724450111389,0.16159875690937042,0.5782346725463867,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Design 3,2.0,17.102969712799876,1,1,0.019366957870297075,0.678835532939891,0.21162811600005904,0.802212119102478,-0.22767789661884308,-0.42908531427383423,-0.3471374809741974,1,0.2655466593722262,0.4915731592803383,0.053362545117080384,0.31260788440704346,-0.7671647071838379,0.12618811428546906,-0.5457208752632141,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Design 4,2.0,13.114568277424663,1,1,0.5358964059155116,0.6637946452197888,0.5148891120583086,0.06833891570568085,0.5462846159934998,-0.4287525415420532,-0.7162920236587524,1,0.9445947559908133,0.5865550405019929,0.9034019152878835,0.5576959252357483,0.16511961817741394,0.8016786575317383,-0.13792040944099426,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
