id,Name,Cost,Perception Entropy,Generation,s0_type,s0_x,s0_y,s0_z,s0_qw,s0_qx,s0_qy,s0_qz,s1_type,s1_x,s1_y,s1_z,s1_qw,s1_qx,s1_qy,s1_qz,s2_type,s2_x,s2_y,s2_z,s2_qw,s2_qx,s2_qy,s2_qz,s3_type,s3_x,s3_y,s3_z,s3_qw,s3_qx,s3_qy,s3_qz,s4_type,s4_x,s4_y,s4_z,s4_qw,s4_qx,s4_qy,s4_qz
0,Prior Design,4.0,3.1179228270557884,0,1,0.0,0.0,0.5000000074505806,6.123233995736766e-17,0.0,0.0,1.0,1,0.0,0.0,1.0,6.123233995736766e-17,0.13052619222005157,7.832796718715562e-18,0.9914448613738105,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Design 1,2.0,3.6755300036918426,1,1,0.8007445686755367,0.9682615757193975,0.31342417815924284,-0.18309065699577332,-0.021911954507231712,0.4500406086444855,0.8737626671791077,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Design 2,2.0,3.4576119039877318,1,1,0.31551563100606295,0.6865009276815837,0.8346256718973729,0.21956899762153625,0.5181208848953247,-0.8265374302864075,0.013269999995827675,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Design 3,4.0,3.4414832002081726,1,1,0.019366957870297075,0.678835532939891,0.21162811600005904,0.38386812806129456,0.3363417387008667,0.052518706768751144,-0.85834801197052,1,0.2655466593722262,0.4915731592803383,0.053362545117080384,-0.2847372591495514,0.09661302715539932,0.19501206278800964,-0.9335743188858032,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Design 4,4.0,3.1388233456629147,1,1,0.5358964059155116,0.6637946452197888,0.5148891120583086,-0.05470366030931473,0.16936780512332916,0.8454314470291138,-0.503555178642273,1,0.9445947559908133,0.5865550405019929,0.9034019152878835,0.2179986834526062,-0.39653709530830383,-0.5169702768325806,0.7266200184822083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
