id,Name,Generation,Cost,Perception Entropy,Coverage,Cost,Coverage,Generation,Name,Perception Entropy,id,s0_qw,s0_qx,s0_qy,s0_qz,s0_type,s0_x,s0_y,s0_z,s1_qw,s1_qx,s1_qy,s1_qz,s1_type,s1_x,s1_y,s1_z,s2_qw,s2_qx,s2_qy,s2_qz,s2_type,s2_x,s2_y,s2_z
0,Design 0,0,3.0,3.6622272910343274,0.8523560209424084,3.0,0.8523560209424084,0,Design 0,3.6622272910343274,0,1.0,0.0,0.0,0.0,1,0.12,0.0,0.33299999999999996,1.0,0.0,0.0,0.0,2,0.247,0.0,0.218,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1,Design 1,1,1.0,12.362926200308182,0.2523560209424084,1.0,0.2523560209424084,1,Design 1,12.362926200308182,1,0.43861979246139526,0.6740224957466125,-0.5763585567474365,-0.14531734585762024,1,-0.1096681362370333,0.13612227710074032,0.19189856774873135,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1,Design 1,1,3.0,13.24390322394945,0.1712041884816754,3.0,0.1712041884816754,1,Design 1,13.24390322394945,1,0.2623707950115204,0.07336313277482986,-0.949120283126831,-0.15795589983463287,2,0.22640796719763398,-0.06716729586267257,0.32488557224300896,-0.29260188341140747,-0.7564720511436462,0.2032257467508316,0.5484828948974609,1,0.1859841008913559,0.14205839886138505,0.2034298913831017,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1,Design 1,1,3.0,4.789364548469031,0.7806282722513089,3.0,0.7806282722513089,1,Design 1,4.789364548469031,1,0.1927414834499359,0.26655930280685425,0.06216619163751602,-0.9423015713691711,1,-0.15635451923235894,-0.02840125499818122,0.3779989551392465,0.33460310101509094,-0.5538699626922607,-0.2072984129190445,-0.7336868047714233,1,0.034965599269226544,0.06907576102217042,0.2495241753103587,-0.3039633333683014,-0.7210253477096558,0.5766037702560425,-0.23506779968738556,1,0.10243328206099586,0.12046524188305424,0.19007870457798448
1,Design 1,1,4.0,7.224775904913743,0.5272251308900524,4.0,0.5272251308900524,1,Design 1,7.224775904913743,1,0.27838680148124695,-0.2660521864891052,0.45438674092292786,0.803274393081665,1,0.13043637245688475,0.17598999200633808,0.336054179985114,-0.19871000945568085,0.4644979238510132,0.7566167116165161,0.4150749742984772,1,-0.07623176961056267,0.10414055824253587,0.20706625042467453,0.05450619012117386,0.19869141280651093,-0.9784811735153198,-0.011198022402822971,2,-0.0025539746015026954,0.14709438111351442,0.245143878783882
2,Design 2,2,3.0,13.24390322394945,0.1712041884816754,3.0,0.1712041884816754,2,Design 2,13.24390322394945,2,0.2623707950115204,0.07336313277482986,-0.949120283126831,-0.15795589983463287,2,0.22640796719763398,-0.06716729586267257,0.32488557224300896,-0.29260188341140747,-0.7564720511436462,0.2032257467508316,0.5484828948974609,1,0.1859841008913559,0.14205839886138505,0.2034298913831017,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2,Design 2,2,1.0,12.362926200308182,0.2523560209424084,1.0,0.2523560209424084,2,Design 2,12.362926200308182,2,0.43861979246139526,0.6740224957466125,-0.5763585567474365,-0.14531734585762024,1,-0.1096681362370333,0.13612227710074032,0.19189856774873135,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2,Design 2,2,2.0,8.4771759679472,0.5041884816753927,2.0,0.5041884816753927,2,Design 2,8.4771759679472,2,0.37027400732040405,0.22162212431430817,-0.4472055435180664,-0.783446192741394,1,-0.1537234781384155,-0.02840125499818122,0.3779989551392465,0.32720378041267395,-0.5805965662002563,-0.20271427929401398,-0.7174623012542725,1,0.034965599269226544,0.06834615840497077,0.2495241753103587,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2,Design 2,2,4.0,7.224775904913743,0.5272251308900524,4.0,0.5272251308900524,2,Design 2,7.224775904913743,2,0.27838680148124695,-0.2660521864891052,0.45438674092292786,0.803274393081665,1,0.13043637245688475,0.17598999200633808,0.336054179985114,-0.19871000945568085,0.4644979238510132,0.7566167116165161,0.4150749742984772,1,-0.07623176961056267,0.10414055824253587,0.20706625042467453,0.05450619012117386,0.19869141280651093,-0.9784811735153198,-0.011198022402822971,2,-0.0025539746015026954,0.14709438111351442,0.245143878783882
3,Design 3,3,3.0,13.24390322394945,0.1712041884816754,3.0,0.1712041884816754,3,Design 3,13.24390322394945,3,0.2623707950115204,0.07336313277482986,-0.949120283126831,-0.15795589983463287,2,0.22640796719763398,-0.06716729586267257,0.32488557224300896,-0.29260188341140747,-0.7564720511436462,0.2032257467508316,0.5484828948974609,1,0.1859841008913559,0.14205839886138505,0.2034298913831017,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3,Design 3,3,3.0,11.611800494679699,0.2350785340314136,3.0,0.2350785340314136,3,Design 3,11.611800494679699,3,0.37458351254463196,0.1995823234319687,-0.8741511106491089,-0.23603785037994385,2,0.22640796719763398,-0.06716729586267257,0.32488557224300896,-0.343799352645874,-0.7602394223213196,-0.0007704159361310303,0.5512144565582275,1,0.23119329933948513,0.14205839886138505,0.18642104910914611,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
