id,Name,Cost,Perception Entropy,Generation,s0_type,s0_x,s0_y,s0_z,s0_qw,s0_qx,s0_qy,s0_qz
0,Prior Design,1.0,9.80121716029057,0,1,0.0,0.0,0.5,1.0,0.0,0.0,0.0
1,Design 1,1.0,17.03629071111092,1,1,0.7892793284514885,0.10322600657764203,0.44789352617590517,0.39186421036720276,-0.6994378566741943,0.02722909301519394,0.5970659255981445
2,Design 2,1.0,11.652141124910205,1,1,0.5148891120583086,0.9445947559908133,0.5865550405019929,0.3832756578922272,-0.5986296534538269,0.1266537606716156,0.6918823719024658
3,Design 3,1.0,17.102969712799876,1,1,0.8073912887095238,0.3976768369855336,0.16535419711693278,-0.33019161224365234,0.5869141221046448,0.6190407872200012,0.404096394777298
4,Design 4,1.0,17.102969712799876,1,1,0.7259979853504515,0.8833060912058098,0.6236722070556089,0.041614919900894165,0.5006604790687561,-0.6031867861747742,0.6194941401481628
5,Design 5,1.0,7.914535956448405,1,1,0.8958862181960668,0.4280911898712949,0.9648400471483856,0.8566518425941467,0.16691067814826965,-0.05099521949887276,-0.485477089881897
6,Design 6,1.0,15.735014880365224,1,1,0.9494892587070712,0.4499121334799405,0.5783896143871318,0.6866030693054199,-0.5353602766990662,-0.283903568983078,0.40170198678970337
7,Design 7,1.0,17.102969712799876,1,1,0.32664490177209615,0.5270581022576093,0.8859420993107745,0.5180624127388,0.11214115470647812,-0.8306042551994324,0.17068202793598175
8,Design 8,1.0,17.102969712799876,1,1,0.35726976000249977,0.9085351509197992,0.6233601157918027,-0.13310089707374573,-0.5650957822799683,-0.35493460297584534,0.7327839732170105
9,Design 9,1.0,16.814294002479407,1,1,0.9973228504514805,0.17234050834532855,0.13713574962887776,-0.7115727663040161,-0.18707242608070374,-0.38175374269485474,-0.5594034790992737
10,Design 10,1.0,16.369264194554177,1,1,0.9325954630371636,0.6968181614899002,0.06600017272206249,0.8770347833633423,0.0038629211485385895,0.43107619881629944,0.2120574414730072
11,Design 11,1.0,17.102969712799876,1,1,0.7554630526024664,0.7538761884612464,0.9230245355464833,0.003816651413217187,0.8758983612060547,0.028324652463197708,0.48164841532707214
12,Design 12,1.0,3.5728089096010605,1,1,0.8420308923596057,0.12417331511991114,0.2791836790111395,-0.5362311601638794,-0.20145495235919952,-0.2321607619524002,0.7861128449440002
13,Design 13,1.0,14.342163688606114,1,1,0.8071051956187791,0.38786064406417176,0.8635418545594287,0.652133047580719,0.3334125578403473,0.5756327509880066,-0.3636006712913513
14,Design 14,1.0,11.24076074976334,1,1,0.7471216427371846,0.5562402339904189,0.13645522566068502,-0.6733468770980835,0.14653229713439941,-0.17559601366519928,-0.7030636072158813
15,Design 15,1.0,10.15473777706036,1,1,0.05991768951221166,0.12134345574073735,0.044551878544761725,-0.1159605085849762,0.14203161001205444,-0.670208752155304,-0.7191664576530457
16,Design 16,1.0,17.102969712799876,1,1,0.5597169820541424,0.012555980159115854,0.07197427968948678,0.3193986713886261,-0.3957371711730957,0.796451210975647,-0.3271729648113251
17,Design 17,1.0,17.102969712799876,1,1,0.967276330000272,0.5681004619199421,0.20329323466099047,-0.6366503834724426,0.3652363717556,0.6456684470176697,-0.21069175004959106
18,Design 18,inf,inf,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Design 19,1.0,17.102969712799876,1,1,0.5813589272732578,0.9700199890883123,0.8468288014900353,0.25928211212158203,0.6362214088439941,0.7132760882377625,0.13868094980716705
20,Design 20,1.0,3.164199099606363,2,1,0.8958862181960668,0.001963408310447473,0.9648400471483856,0.8446470499038696,0.17319653928279877,-0.052915699779987335,-0.5037601590156555
21,Design 21,1.0,3.2208958322466295,2,1,0.9494892587070712,0.534285296019305,0.5783896143871318,0.623944103717804,-0.5389667749404907,-0.25948426127433777,-0.5028682947158813
22,Design 22,1.0,3.253756708806841,2,1,0.9654675041995902,0.12417331511991114,0.29123370450906366,-0.5387564897537231,-0.19978876411914825,-0.23180696368217468,0.7849148511886597
23,Design 23,1.0,3.5728089096010605,2,1,0.8420308923596057,0.12417331511991114,0.2791836790111395,-0.5362311601638794,-0.20145495235919952,-0.2321607619524002,0.7861128449440002
24,Design 24,1.0,3.8299733604849266,2,1,0.8048682237439322,0.12417331511991114,0.26346481230028007,-0.5883921384811401,-0.22105112671852112,-0.2547437846660614,0.7348719835281372
25,Design 25,1.0,5.841012052720872,2,1,0.7471216427371846,0.45987518835043795,0.13645522566068502,-0.8001817464828491,0.17413383722305298,-0.20672421157360077,0.535398542881012
26,Design 26,1.0,7.914535956448405,2,1,0.8958862181960668,0.4280911898712949,0.9648400471483856,0.8566518425941467,0.16691067814826965,-0.05099521949887276,-0.485477089881897
27,Design 27,1.0,10.15473777706036,2,1,0.05991768951221166,0.12134345574073735,0.044551878544761725,-0.1159605085849762,0.14203161001205444,-0.670208752155304,-0.7191664576530457
28,Design 28,1.0,11.239456983870356,2,1,0.9973228504514805,0.16110606323246093,0.11322360263191755,-0.842963695526123,-0.2140270322561264,-0.4522440433502197,0.19768689572811127
29,Design 29,1.0,11.24076074976334,2,1,0.7471216427371846,0.5562402339904189,0.13645522566068502,-0.6733468770980835,0.14653229713439941,-0.17559601366519928,-0.7030636072158813
30,Design 30,1.0,11.652141124910205,2,1,0.5148891120583086,0.9445947559908133,0.5865550405019929,0.3832756578922272,-0.5986296534538269,0.1266537606716156,0.6918823719024658
31,Design 31,1.0,11.80864048499474,2,1,0.7431116075493583,0.5562402339904189,0.13604960213206474,-0.8010131120681763,0.2101292908191681,-0.24812710285186768,-0.5026496648788452
32,Design 32,1.0,11.891107093399853,2,1,0.5148891120583086,0.9445947559908133,0.9160108542288563,0.3883788585662842,-0.5831065773963928,0.1327216625213623,0.7010945677757263
33,Design 33,1.0,12.50025901145348,2,1,0.9973228504514805,0.17234050834532855,0.13713574962887776,-0.7172605395317078,0.13966865837574005,-0.38480520248413086,-0.5638749003410339
