id,Name,Generation,Cost,Perception Entropy,Coverage,s0_type,s0_x,s0_y,s0_z,s0_qw,s0_qx,s0_qy,s0_qz,s1_type,s1_x,s1_y,s1_z,s1_qw,s1_qx,s1_qy,s1_qz,s2_type,s2_x,s2_y,s2_z,s2_qw,s2_qx,s2_qy,s2_qz
2,Design 2,2,4.0,7.6486011507334535,0.5151832460732985,1,0.13043637245688475,0.17598999200633808,0.336054179985114,0.2291276603937149,-0.6542842984199524,-0.6881763935089111,-0.21406981348991394,1,-0.07623176961056267,0.10414055824253587,0.20706625042467453,0.49061647057533264,-0.7005375027656555,0.45525291562080383,0.2475631684064865,2,-0.0025539746015026954,0.14709438111351442,0.245143878783882,0.7696796655654907,0.39362072944641113,-0.4819827079772949,0.14264868199825287
2,Design 2,2,2.0,8.226370374196106,0.5528795811518324,1,-0.1537234781384155,-0.02840125499818122,0.3779989551392465,0.08807608485221863,-0.9286733269691467,0.0036466498859226704,0.3602708876132965,1,0.034965599269226544,0.06834615840497077,0.2495241753103587,0.16631309688091278,-0.46067529916763306,-0.33791568875312805,-0.8036985993385315,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Design 3,3,2.0,14.765743232877167,0.07696335078534032,2,-0.1096681362370333,0.13612227710074032,0.19189856774873135,0.019373539835214615,-0.18808835744857788,0.5578380823135376,-0.8081238269805908,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Design 3,3,1.0,11.22082796400344,0.2732984293193717,1,-0.1096681362370333,0.13612227710074032,0.19189856774873135,0.03246106952428818,-0.2337341159582138,0.5725454688072205,-0.7851791977882385,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Design 3,3,3.0,9.931897887863496,0.4193717277486911,2,0.22640796719763398,-0.06716729586267257,0.32488557224300896,0.2378891110420227,0.27501779794692993,-0.7479249238967896,-0.5553218722343445,1,0.1859841008913559,0.14205839886138505,0.2034298913831017,0.41871926188468933,-0.36483263969421387,0.8294800519943237,0.05944932624697685,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Design 3,3,4.0,7.6486011507334535,0.5151832460732985,1,0.13043637245688475,0.17598999200633808,0.336054179985114,0.2291276603937149,-0.6542842984199524,-0.6881763935089111,-0.21406981348991394,1,-0.07623176961056267,0.10414055824253587,0.20706625042467453,0.49061647057533264,-0.7005375027656555,0.45525291562080383,0.2475631684064865,2,-0.0025539746015026954,0.14709438111351442,0.245143878783882,0.7696796655654907,0.39362072944641113,-0.4819827079772949,0.14264868199825287
4,Design 4,4,2.0,14.765743232877167,0.07696335078534032,2,-0.1096681362370333,0.13612227710074032,0.19189856774873135,0.019373539835214615,-0.18808835744857788,0.5578380823135376,-0.8081238269805908,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Design 4,4,1.0,11.22082796400344,0.2732984293193717,1,-0.1096681362370333,0.13612227710074032,0.19189856774873135,0.03246106952428818,-0.2337341159582138,0.5725454688072205,-0.7851791977882385,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Design 4,4,1.0,11.19460388979426,0.28272251308900526,1,-0.024910095339522487,0.1344215209999529,0.19189856774873135,0.031475212424993515,-0.22663551568984985,-0.5980494022369385,-0.7681031227111816,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Design 4,4,3.0,9.931897887863496,0.4193717277486911,2,0.22640796719763398,-0.06716729586267257,0.32488557224300896,0.2378891110420227,0.27501779794692993,-0.7479249238967896,-0.5553218722343445,1,0.1859841008913559,0.14205839886138505,0.2034298913831017,0.41871926188468933,-0.36483263969421387,0.8294800519943237,0.05944932624697685,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Design 5,5,2.0,14.765743232877167,0.07696335078534032,2,-0.1096681362370333,0.13612227710074032,0.19189856774873135,0.019373539835214615,-0.18808835744857788,0.5578380823135376,-0.8081238269805908,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Design 5,5,2.0,14.620780467821492,0.09476439790575916,2,-0.11499153843860838,-0.07211312851577178,0.32488557224300896,0.19523859024047852,0.27265796065330505,-0.7563948035240173,-0.5616106390953064,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Design 5,5,1.0,11.22082796400344,0.2732984293193717,1,-0.1096681362370333,0.13612227710074032,0.19189856774873135,0.03246106952428818,-0.2337341159582138,0.5725454688072205,-0.7851791977882385,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Design 5,5,1.0,11.19460388979426,0.28272251308900526,1,-0.024910095339522487,0.1344215209999529,0.19189856774873135,0.031475212424993515,-0.22663551568984985,-0.5980494022369385,-0.7681031227111816,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Design 6,6,2.0,14.904226267448179,0.06492146596858639,2,-0.024910095339522487,0.11368817802191411,0.19189856774873135,0.01966799981892109,-0.22670403122901917,-0.5982301831245422,-0.7683352828025818,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Design 6,6,2.0,14.765743232877167,0.07696335078534032,2,-0.1096681362370333,0.13612227710074032,0.19189856774873135,0.019373539835214615,-0.18808835744857788,0.5578380823135376,-0.8081238269805908,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Design 6,6,2.0,14.620780467821492,0.09476439790575916,2,-0.11499153843860838,-0.07211312851577178,0.32488557224300896,0.19523859024047852,0.27265796065330505,-0.7563948035240173,-0.5616106390953064,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
