Index,Name,Cost,Perception Entropy,Generation,s0_type,s0_x,s0_y,s0_z,s0_qw,s0_qx,s0_qy,s0_qz,s1_type,s1_x,s1_y,s1_z,s1_qw,s1_qx,s1_qy,s1_qz,s2_type,s2_x,s2_y,s2_z,s2_qw,s2_qx,s2_qy,s2_qz,s3_type,s3_x,s3_y,s3_z,s3_qw,s3_qx,s3_qy,s3_qz,s4_type,s4_x,s4_y,s4_z,s4_qw,s4_qx,s4_qy,s4_qz
0,Prior Design,5.0,2.419967160926951,0,2,0.1,0.2,0.3,6.123233995736766e-17,0.0,0.0,1.0,2,0.0,0.0,1.0,6.123233995736766e-17,0.13052619222005157,7.832796718715562e-18,0.9914448613738105,1,0.2,0.3,0.4,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Design 1,3.0,0.11871141031939743,1,1,1.6014891373510733,0.9682615757193975,0.31342417815924284,-0.004027801100164652,-0.3905077278614044,0.14039430022239685,0.9098225235939026,2,1.3846452313386282,0.8763891522960383,0.8946066635038473,0.1870092898607254,0.9503479599952698,0.07048410177230835,-0.23853377997875214,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Design 2,3.0,2.1006710781515525,1,1,0.6310312620121259,0.6865009276815837,0.8346256718973729,0.16847871243953705,0.27170753479003906,0.933668315410614,-0.1614108681678772,1,0.03657655468838361,0.7501443149449675,0.9888610889064947,0.3980102241039276,0.5587007999420166,-0.6083810925483704,0.3991413116455078,1,1.4963313087596788,0.2804439920644052,0.7892793284514885,0.9494447708129883,0.24338404834270477,0.18545208871364594,0.07018787413835526,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Design 3,5.0,3.008742105703231,1,1,0.03873391574059415,0.678835532939891,0.21162811600005904,0.2763761878013611,0.866340696811676,-0.02148115448653698,0.4154618978500366,2,0.5310933187444524,0.4915731592803383,0.053362545117080384,0.45978012681007385,0.45130759477615356,0.6600324511528015,0.38636887073516846,2,1.1482352109840261,0.14672857490581015,0.5893055369032842,-0.5060935020446777,0.6295819878578186,0.30406343936920166,0.5050163269042969,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Design 4,4.0,-2.685301688814164,1,2,1.0717928118310232,0.6637946452197888,0.5148891120583086,-0.4357398748397827,0.3704273998737335,0.3037605285644531,0.7619999647140503,1,1.8891895119816267,0.5865550405019929,0.9034019152878835,0.6345492601394653,0.5121124386787415,-0.30376094579696655,-0.4927651882171631,1,0.27494940829247505,0.13927634725075855,0.8073912887095238,0.6759147644042969,0.1326453983783722,0.310666024684906,-0.6550046801567078,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Design 5,3.0,0.11871141031939743,2,1,1.6014891373510733,0.9682615757193975,0.31342417815924284,-0.004027801100164652,-0.3905077278614044,0.14039430022239685,0.9098225235939026,2,1.3846452313386282,0.8763891522960383,0.8946066635038473,0.1870092898607254,0.9503479599952698,0.07048410177230835,-0.23853377997875214,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Design 6,4.0,-2.685301688814164,2,2,1.0717928118310232,0.6637946452197888,0.5148891120583086,-0.4357398748397827,0.3704273998737335,0.3037605285644531,0.7619999647140503,1,1.8891895119816267,0.5865550405019929,0.9034019152878835,0.6345492601394653,0.5121124386787415,-0.30376094579696655,-0.4927651882171631,1,0.27494940829247505,0.13927634725075855,0.8073912887095238,0.6759147644042969,0.1326453983783722,0.310666024684906,-0.6550046801567078,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Design 7,3.0,2.1006710781515525,2,1,0.6310312620121259,0.6865009276815837,0.8346256718973729,0.16847871243953705,0.27170753479003906,0.933668315410614,-0.1614108681678772,1,0.03657655468838361,0.7501443149449675,0.9888610889064947,0.3980102241039276,0.5587007999420166,-0.6083810925483704,0.3991413116455078,1,1.4963313087596788,0.2804439920644052,0.7892793284514885,0.9494447708129883,0.24338404834270477,0.18545208871364594,0.07018787413835526,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Design 8,5.0,1.969279253617294,2,1,0.6251085467060256,0.678835532939891,0.21162811600005904,0.16776156425476074,0.8830916285514832,-0.020912857726216316,0.4376845955848694,2,0.02632629796380731,0.752301980119063,0.053362545117080384,0.45624232292175293,0.4511871933937073,0.6616936922073364,0.38785889744758606,2,1.0,0.14807801345792093,0.5893055369032842,0.8356581926345825,0.24225448071956635,0.17333941161632538,0.4614558219909668,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
