id,Name,Cost,Perception Entropy,Generation,s0_type,s0_x,s0_y,s0_z,s0_qw,s0_qx,s0_qy,s0_qz,s1_type,s1_x,s1_y,s1_z,s1_qw,s1_qx,s1_qy,s1_qz,s2_type,s2_x,s2_y,s2_z,s2_qw,s2_qx,s2_qy,s2_qz,s3_type,s3_x,s3_y,s3_z,s3_qw,s3_qx,s3_qy,s3_qz,s4_type,s4_x,s4_y,s4_z,s4_qw,s4_qx,s4_qy,s4_qz
0,Prior Design,1.0,9.80121716029057,0,1,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Design 1,1.0,16.347819915479512,1,1,0.8007445686755367,0.9682615757193975,0.31342417815924284,-0.20907512307167053,0.2634489834308624,-0.5351675748825073,0.7749051451683044,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Design 2,1.0,5.198339845603792,1,1,0.31551563100606295,0.6865009276815837,0.8346256718973729,-0.7481443881988525,0.6261358857154846,0.005700752604752779,-0.21954791247844696,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Design 3,2.0,13.713374768799632,1,1,0.019366957870297075,0.678835532939891,0.21162811600005904,0.18019674718379974,0.3779834806919098,0.5669506192207336,-0.7093833088874817,1,0.2655466593722262,0.4915731592803383,0.053362545117080384,0.47025835514068604,-0.34482115507125854,-0.5566755533218384,-0.5916652679443359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Design 4,2.0,17.102969712799876,1,1,0.5358964059155116,0.6637946452197888,0.5148891120583086,-0.4970704913139343,-0.03699712082743645,-0.6298206448554993,-0.5957164764404297,1,0.9445947559908133,0.5865550405019929,0.9034019152878835,-0.542724072933197,-0.7259095311164856,-0.41614723205566406,-0.07298938930034637,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
